time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2008-07-27,-3.625,38.625,12.524714,0.0,0.0,0.14060563,25.376136656160707
2008-07-28,-3.625,38.625,12.712173,0.0,0.0,0.13768382,25.2252334245929
2008-07-29,-3.625,38.625,12.431142,0.0,0.0,0.13520172,25.074330193025094
2008-07-30,-3.625,38.625,11.845568,0.0,0.0,0.13155572,24.923426961457288
2008-07-31,-3.625,38.625,11.969856,0.0,0.0,0.12720063,24.77252372988948
2008-08-01,-3.625,38.625,12.3135395,0.0,0.0,0.1270475,24.621620498321672
2008-08-02,-3.625,38.625,12.086311,0.0,0.0,0.12662873,24.470717266753866
2008-08-03,-3.625,38.625,11.755485,0.0,0.0,0.12613344,24.31981403518606
2008-08-04,-3.625,38.625,11.514756,0.0053268033,0.0,0.12742643,24.168910803618253
2008-08-05,-3.625,38.625,11.851787,0.0,0.0,0.12585005,24.28614327477084
2008-08-06,-3.625,38.625,11.732406,0.17112382,2.5239027e-08,0.12567937,24.40337574592343
2008-08-07,-3.625,38.625,11.536789,0.0,0.0,0.1241346,24.520608217076017
2008-08-08,-3.625,38.625,10.701727,0.0,0.0,0.12191485,24.637840688228607
2008-08-09,-3.625,38.625,10.897376,0.0,0.0,0.120791316,24.755073159381194
2008-08-10,-3.625,38.625,11.31873,0.0,0.0,0.12016766,24.87230563053378
2008-08-11,-3.625,38.625,11.51521,0.0,0.0,0.12094395,24.98953810168637
2008-08-12,-3.625,38.625,11.899032,0.0,0.0,0.121709846,25.106770572838958
2008-08-13,-3.625,38.625,11.3873005,0.0,0.0,0.1205159,24.96589009684545
2008-08-14,-3.625,38.625,11.147115,0.0,0.0,0.11919103,24.825009620851937
2008-08-15,-3.625,38.625,10.499461,0.0,0.0,0.11704854,24.684129144858428
2008-08-16,-3.625,38.625,9.615892,0.0,0.0,0.11616854,24.54324866886492
2008-08-17,-3.625,38.625,11.183871,0.0,0.0,0.1178691,24.40236819287141
2008-08-18,-3.625,38.625,11.0804,0.0,0.0,0.11884942,24.2614877168779
2008-08-19,-3.625,38.625,10.821705,0.0,0.0,0.11798241,24.12060724088439
2008-08-20,-3.625,38.625,9.894574,0.0,0.0,0.11614983,23.97972676489088
2008-08-21,-3.625,38.625,10.33871,0.0,0.0,0.11682248,23.885722168617775
2008-08-22,-3.625,38.625,10.589722,0.3089893,0.0,0.1218104,23.791717572344673
2008-08-23,-3.625,38.625,10.28828,0.092479736,0.0,0.11912193,23.697712976071568
2008-08-24,-3.625,38.625,10.192309,0.0,0.0,0.11929108,23.603708379798462
2008-08-25,-3.625,38.625,9.763759,0.0,0.0,0.1165211,23.50970378352536
2008-08-26,-3.625,38.625,9.698357,0.0,0.0,0.11697395,23.415699187252255
2008-08-27,-3.625,38.625,8.666457,0.0,0.0,0.116968766,23.321694590979153
2008-08-28,-3.625,38.625,9.225127,0.0,0.0,0.1169137,23.227689994706047
2008-08-29,-3.625,38.625,9.330634,0.0,0.0,0.117014386,23.920872352189487
2008-08-30,-3.625,38.625,8.7217245,0.016655704,0.0,0.120039046,24.614054709672928
2008-08-31,-3.625,38.625,9.726652,0.0,0.0,0.11792423,25.30723706715637
2008-09-01,-3.625,38.625,9.324461,0.0,0.0,0.117857,26.00041942463981
2008-09-02,-3.625,38.625,9.372185,0.0,0.0,0.11703006,26.693601782123245
2008-09-03,-3.625,38.625,8.693009,0.0,0.0,0.11615803,27.386784139606686
2008-09-04,-3.625,38.625,9.530061,0.0,0.0,0.11917112,28.079966497090126
2008-09-05,-3.625,38.625,8.584974,0.07665445,0.0,0.117957234,28.773148854573567
