time,longitude,latitude,snr_[MJ/m2],tp_[mm]
2010-10-12,8.125,48.125,3.6536627,0.0
2010-10-13,8.125,48.125,3.1453166,0.003237889
2010-10-14,8.125,48.125,2.480141,0.0
2010-10-15,8.125,48.125,1.2624449,0.03850348
2010-10-16,8.125,48.125,1.151484,9.088092
2010-10-17,8.125,48.125,3.170949,3.7617035
2010-10-18,8.125,48.125,1.4533833,0.18959877
2010-10-19,8.125,48.125,0.6777272,10.243781
2010-10-20,8.125,48.125,2.7199204,8.811697
2010-10-21,8.125,48.125,1.8470036,0.63109434
2010-10-22,8.125,48.125,0.45467967,0.0030291763
2010-10-23,8.125,48.125,1.7045788,3.8992944
2010-10-24,8.125,48.125,2.2204614,12.966164
2010-10-25,8.125,48.125,0.984869,0.80927676
2010-10-26,8.125,48.125,2.1012423,0.0
2010-10-27,8.125,48.125,1.7119982,0.0
2010-10-28,8.125,48.125,1.0987076,0.0015372231
2010-10-29,8.125,48.125,1.7325925,0.0
2010-10-30,8.125,48.125,1.9033604,0.08038967
2010-10-31,8.125,48.125,2.9837124,0.2508923
2010-11-01,8.125,48.125,2.3630412,0.0007519756
2010-11-02,8.125,48.125,0.5941303,0.08154499
2010-11-03,8.125,48.125,2.0682511,2.1152067
2010-11-04,8.125,48.125,1.7521253,0.8038521
2010-11-05,8.125,48.125,1.4609758,0.3327488
2010-11-06,8.125,48.125,1.4596639,1.1694063
2010-11-07,8.125,48.125,-0.2270601,12.360129
2010-11-08,8.125,48.125,1.437422,1.3866732
2010-11-09,8.125,48.125,0.88503337,3.321337
2010-11-10,8.125,48.125,1.1914155,7.641058
2010-11-11,8.125,48.125,1.6234338,6.2493567
2010-11-12,8.125,48.125,1.5484397,12.485955
2010-11-13,8.125,48.125,-0.14095747,1.9852972
2010-11-14,8.125,48.125,0.44448957,0.092756644
2010-11-15,8.125,48.125,0.04131182,15.984722
2010-11-16,8.125,48.125,0.68112046,8.843466
2010-11-17,8.125,48.125,0.054897055,0.01745213
2010-11-18,8.125,48.125,-0.4684457,0.25461885
2010-11-19,8.125,48.125,0.015014089,0.37146118
2010-11-20,8.125,48.125,-0.14664464,0.00017493621
2010-11-21,8.125,48.125,-1.6402735,0.63945466
2010-11-22,8.125,48.125,0.3089652,8.273617
2010-11-23,8.125,48.125,0.069540486,6.874015
2010-11-24,8.125,48.125,0.26931208,4.569203
2010-11-25,8.125,48.125,0.31093544,9.56197
2010-11-26,8.125,48.125,0.07384767,5.616439
2010-11-27,8.125,48.125,-0.65380543,2.4687889
2010-11-28,8.125,48.125,-1.0933245,0.040643167
2010-11-29,8.125,48.125,-0.77901876,4.127815
2010-11-30,8.125,48.125,-1.194813,0.003235069
2010-12-01,8.125,48.125,-0.04238112,3.8335423
2010-12-02,8.125,48.125,-1.4125634,0.47590125
2010-12-03,8.125,48.125,-1.1095564,0.4085192
2010-12-04,8.125,48.125,-1.4243371,0.24246652
2010-12-05,8.125,48.125,-0.6281974,9.604883
2010-12-06,8.125,48.125,0.3868122,37.15357
2010-12-07,8.125,48.125,0.9428713,19.84561
2010-12-08,8.125,48.125,0.06446223,19.415438
2010-12-09,8.125,48.125,-0.025639432,4.7752824
2010-12-10,8.125,48.125,-0.48745874,6.4778075
2010-12-11,8.125,48.125,0.286722,5.065711
2010-12-12,8.125,48.125,0.010462999,6.4966307
2010-12-13,8.125,48.125,-1.3907994,0.8469211
2010-12-14,8.125,48.125,-0.26862893,0.71792144
2010-12-15,8.125,48.125,-0.031013297,2.895934
2010-12-16,8.125,48.125,0.0051467866,3.3054192
2010-12-17,8.125,48.125,-0.35726595,10.15582
2010-12-18,8.125,48.125,-1.3856293,1.2560279
2010-12-19,8.125,48.125,-0.28075886,6.8709617
2010-12-20,8.125,48.125,0.2282252,20.05588
2010-12-21,8.125,48.125,0.052708328,4.441442
2010-12-22,8.125,48.125,-0.19146098,8.92405
2010-12-23,8.125,48.125,-0.1014184,1.6078928
2010-12-24,8.125,48.125,-0.088482745,22.180008
2010-12-25,8.125,48.125,-0.28299445,7.498453
2010-12-26,8.125,48.125,-1.511311,0.13301998
2010-12-27,8.125,48.125,-1.2823066,0.011806514
2010-12-28,8.125,48.125,-0.43751597,2.7911367
2010-12-29,8.125,48.125,0.11791978,0.23875202
2010-12-30,8.125,48.125,-0.3535295,0.0
2010-12-31,8.125,48.125,-1.1316029,0.023452364
2011-01-01,8.125,48.125,-0.44849598,0.21414907
2011-01-02,8.125,48.125,-0.3921296,1.1952854
2011-01-03,8.125,48.125,-0.70381254,0.047756445
2011-01-04,8.125,48.125,-0.8007698,0.054362416
2011-01-05,8.125,48.125,-1.4895903,0.018494656
2011-01-06,8.125,48.125,-0.13690029,14.298008
2011-01-07,8.125,48.125,-0.31052715,12.038757
2011-01-08,8.125,48.125,-0.49442,2.1333523
2011-01-09,8.125,48.125,-0.76445824,15.590998
2011-01-10,8.125,48.125,0.34677398,0.6971722
2011-01-11,8.125,48.125,0.4730058,5.782349
2011-01-12,8.125,48.125,0.44886976,9.926935
2011-01-13,8.125,48.125,0.8892021,15.9981165
2011-01-14,8.125,48.125,0.49941176,1.5265037
2011-01-15,8.125,48.125,-0.1155787,4.0749655
2011-01-16,8.125,48.125,-1.3583221,0.00069821393
2011-01-17,8.125,48.125,-0.63441557,0.11823189
2011-01-18,8.125,48.125,0.75909835,1.0476251
2011-01-19,8.125,48.125,0.49774802,5.2788157
2011-01-20,8.125,48.125,-0.0067452486,4.5048485
2011-01-21,8.125,48.125,0.22733752,0.23320559
2011-01-22,8.125,48.125,-1.7191857,0.010008741
2011-01-23,8.125,48.125,-1.0411657,0.019022323
2011-01-24,8.125,48.125,0.9221561,0.730349
2011-01-25,8.125,48.125,1.5930002,4.484118
2011-01-26,8.125,48.125,0.20342916,7.9218397
2011-01-27,8.125,48.125,0.85357326,0.14463373
2011-01-28,8.125,48.125,0.4072731,0.023022009
2011-01-29,8.125,48.125,-0.73731893,0.001333229
2011-01-30,8.125,48.125,-0.39598283,0.0002116717
2011-01-31,8.125,48.125,-0.04960729,0.0009098856
2011-02-01,8.125,48.125,0.43456575,0.0
2011-02-02,8.125,48.125,0.28220433,0.07172469
2011-02-03,8.125,48.125,-0.28210753,1.3187407
2011-02-04,8.125,48.125,1.6648729,0.35777315
2011-02-05,8.125,48.125,2.0028214,0.33762145
2011-02-06,8.125,48.125,0.8039557,0.009541832
2011-02-07,8.125,48.125,0.2257998,0.0
2011-02-08,8.125,48.125,0.16086406,0.046654277
2011-02-09,8.125,48.125,1.4173943,0.00328103
2011-02-10,8.125,48.125,2.3504713,1.2607813
2011-02-11,8.125,48.125,3.0016205,0.66171855
2011-02-12,8.125,48.125,2.666552,0.013442746
2011-02-13,8.125,48.125,1.2816598,1.2003801
2011-02-14,8.125,48.125,2.5707119,0.019107595
2011-02-15,8.125,48.125,0.6001357,3.6336844
2011-02-16,8.125,48.125,2.229756,0.060761485
2011-02-17,8.125,48.125,2.443984,1.2313133
2011-02-18,8.125,48.125,2.6394796,0.044917557
2011-02-19,8.125,48.125,1.8272113,0.0037160304
2011-02-20,8.125,48.125,0.76965916,7.7539406
2011-02-21,8.125,48.125,2.0694213,3.1825151
2011-02-22,8.125,48.125,-0.105179265,0.2363698
2011-02-23,8.125,48.125,2.4255748,0.0
2011-02-24,8.125,48.125,1.7960885,2.2419825
2011-02-25,8.125,48.125,1.5553677,1.8075691
2011-02-26,8.125,48.125,2.9532347,7.2842937
2011-02-27,8.125,48.125,1.9522963,6.487812
2011-02-28,8.125,48.125,2.5231647,0.8813227
2011-03-01,8.125,48.125,4.435737,0.0008284493
2011-03-02,8.125,48.125,3.6689177,0.0
2011-03-03,8.125,48.125,3.081056,0.0
2011-03-04,8.125,48.125,4.7380085,0.00019272671
2011-03-05,8.125,48.125,4.945209,0.0
2011-03-06,8.125,48.125,4.2696624,0.0014641719
2011-03-07,8.125,48.125,4.2091455,0.0
2011-03-08,8.125,48.125,5.7551312,0.0
2011-03-09,8.125,48.125,5.76914,0.0006357226
2011-03-10,8.125,48.125,4.4292703,0.22743456
2011-03-11,8.125,48.125,4.4474716,0.0030059854
2011-03-12,8.125,48.125,6.1218977,0.0055488762
2011-03-13,8.125,48.125,4.271332,2.4290793
2011-03-14,8.125,48.125,5.5249987,0.3353978
2011-03-15,8.125,48.125,6.678827,0.0
2011-03-16,8.125,48.125,2.8771145,2.3863137
2011-03-17,8.125,48.125,1.0719936,10.411832
2011-03-18,8.125,48.125,3.266645,3.8598604
2011-03-19,8.125,48.125,2.9370248,8.448141
2011-03-20,8.125,48.125,6.912183,0.0
2011-03-21,8.125,48.125,7.265276,0.0
